App id,Review id,Sentence id,Sentence content,Feature (Positive),Feature (Neutral),Feature (Negative),Feature (All Annotated)
com.zentertain.photoeditor,gp:AOqpTOG7hummQBJjBH5ckmnmjHCC47Mit1zm4pPFp9gYBpMeoqzzpx6ZqSu_yRtUIINjgenlbrReIBP5Y2mwDVs,1,"lighter and faster than other photo editors ,with many editing options best recommended app for photo editing",photo editing,photo editors;editing,,photo editing;photo editors;editing
com.zentertain.photoeditor,gp:AOqpTOHnWIXv7BA160wTdozrHaaNTsdsYZjF39k3M-udF_WN3AIMk1RasAPWg-b6yQ_BFB4iqCAuNckVRMw31oU,1,"super easy and i love the effects ,also super easy to install!!",effects;install,,,effects;install
com.zentertain.photoeditor,gp:AOqpTOFi6FQRSnyd_F0OKypEvkDq4AmEqUae90NsR_rdthQ9VrE0DpG64HT0RChkJLr05XpY78xkxLIr6CWGL40,1,Very good app,,,,
com.zentertain.photoeditor,gp:AOqpTOHN7kZWg4R0rkplKcWVTtaDZWfGCt2V6VdLA988jbRLKAp1AeQje1pVh3mNDtco8hcVcRG_lStXkKDO0dE,1,The app has very good features indeed...,,,,
com.zentertain.photoeditor,gp:AOqpTOHowKqs5QCJ4FmbUL0Wf0OI4u2AtGMKA2oxBUAnT5HqjZOhSoGLaPhHnb7a-8NR4ZQe0V9n-UD7i5kmyzQ,1,I would give this app a 5 if there were not so many ads,,ads,,ads
com.zentertain.photoeditor,gp:AOqpTOGliQUPyFL0ezc3gNBNoRqkWG4mw6k4uMIicuGhbxs0QbL8PRggxmdzL7hOKkNX0FyGnRZpBx9VvGVoA0k,1,never use it its fake,,,,
com.zentertain.photoeditor,gp:AOqpTOFYwkbSyyA6FSpRFrfQiwGYDg2rCatWfimd_des6lF8zzKYgu66SFlmhjYIU42Yr2-zeHDWJAFX-0Wtjy0,1,Easy to use!,,,,
com.zentertain.photoeditor,gp:AOqpTOFYwkbSyyA6FSpRFrfQiwGYDg2rCatWfimd_des6lF8zzKYgu66SFlmhjYIU42Yr2-zeHDWJAFX-0Wtjy0,2,Covers imperfections and has cool filters!,filters,Covers imperfections,,filters;Covers imperfections
com.zentertain.photoeditor,gp:AOqpTOEs3FAnr-1YHIW7o__xQ8EGgWOD2Fu1JIQ6FqxUFoTREofoimtifCVIf5Zd_LX1xn4G6lgpjkA7PciOO2U,1,I love did App Its Amazing!!,,,,
com.zentertain.photoeditor,gp:AOqpTOH6kbOrRNDOCe4qAuDbNTEZbM7a-i_uFmyqt6MLA4GUT_bLJn4C5_8pvsd33Zwi-zCeNV55a5K57cA5bvE,1,It's a great app,,,,
com.zentertain.photoeditor,gp:AOqpTOGhHEJ5SmMztmDchXT7r9PdzJLaaUVTa2WeDM8AmlbnV8gnrejF4btSh6KraXuiuWmd9u0ob5cy27PyU_E,1,"Very useful, full features without any pro version purchase",,,,
com.zentertain.photoeditor,gp:AOqpTOE_CPHf7opugq1IgLsai1mPrI17_J63qWGyIvSSNV8LT41aWjjzwOhQPPBsjATeB6FGYO8k-IhDI0HZo70,1,I LOVE IT,,,,
com.zentertain.photoeditor,gp:AOqpTOGNJKkg0AsmbS3LcMmWJbmFev1FAAECI2XxVn6ZzT0NK3aW41sZ0pW2u59DkLkHlCgA2lz1I6ocPIjPbTU,1,There are so many ads popping up that the app is now unusable because an ad pops up literally every time I close the last.,,ads popping up,ad pops up,ads popping up;ad pops up
com.zentertain.photoeditor,gp:AOqpTOEUO8vCTMqMx-qFBLC838HGNYS7LJCDB6648RHyTLmmiI9gTnWHbdzwPJfsXDPl0S5rpCxjn2H977VYaNQ,1,I have used it.,,,,
com.zentertain.photoeditor,gp:AOqpTOEUO8vCTMqMx-qFBLC838HGNYS7LJCDB6648RHyTLmmiI9gTnWHbdzwPJfsXDPl0S5rpCxjn2H977VYaNQ,2,Its a good app for photo editing.,photo editing,,,photo editing
com.zentertain.photoeditor,gp:AOqpTOEUO8vCTMqMx-qFBLC838HGNYS7LJCDB6648RHyTLmmiI9gTnWHbdzwPJfsXDPl0S5rpCxjn2H977VYaNQ,3,You can so many things from this app.,,,,
com.zentertain.photoeditor,gp:AOqpTOEUO8vCTMqMx-qFBLC838HGNYS7LJCDB6648RHyTLmmiI9gTnWHbdzwPJfsXDPl0S5rpCxjn2H977VYaNQ,4,You can download this app without fearing.,,,,
com.zentertain.photoeditor,gp:AOqpTOGVnyYJ0b2NOMSIlWd7nDaIWV38yt_g79P3GoxrTT_ZbLk_Wf2PmtAlnAvOvWQu-FhSQl6Y9k6SZgGVsHQ,1,I`ve seen so many photo editing tools but this one is the best 10x a lot it's really proffesional,,photo editing,,photo editing
com.zentertain.photoeditor,gp:AOqpTOHpKFCyH0iAdbdDvjY1Y4-U1bOqZ4EPqzarU8nW1B8PrAsk7dK7xdheVQiOvOeugq2aNHVfjnIjOApg74U,1,I have a blast using this app with my eight yr old daughter!,,,,
com.zentertain.photoeditor,gp:AOqpTOEk9A3FhJh0clCvB5NcWq8xlN0SHvENnJdyKXW6tfAdSMhBP0aDfCigT16GqX1x-VDEK5LAmZ-Df6y0iOM,1,Able to take r add to photo love it!,take photo;add to photo,,,take photo;add to photo
com.zentertain.photoeditor,gp:AOqpTOF5gOW32oljZdqdC26L3xmmHLAKpOxZsbRuLUiBOR662nQk55o-NvQolSZrB0yHdAxUICayBu_QRbEfWnI,1,"First, why do you need Access to my phone?",,,,
com.zentertain.photoeditor,gp:AOqpTOF5gOW32oljZdqdC26L3xmmHLAKpOxZsbRuLUiBOR662nQk55o-NvQolSZrB0yHdAxUICayBu_QRbEfWnI,2,Why are you running in background when i am not using you???,,,,
com.zentertain.photoeditor,gp:AOqpTOF5gOW32oljZdqdC26L3xmmHLAKpOxZsbRuLUiBOR662nQk55o-NvQolSZrB0yHdAxUICayBu_QRbEfWnI,3,Get off my phone!,,,,
com.zentertain.photoeditor,gp:AOqpTOEqViTNsi_RRySYE6HC5FQLMBicmRDFtHrwbyLGpewZPhaavLTvbWmjxbS6HJBVpLpIS4gX0so4uXyQL64,1,Makes neat collages and great for editing,editing,,,editing
com.zentertain.photoeditor,gp:AOqpTOG0GOWwLVeGjAzzWz25bg2tpixBNivnH7SP8glCDbfodZ-p0qnxEGixg0Rlridf75tn1MUw6DlcLDdHyMQ,1,U have t ok down load every thing u want to add to it like the effects,,effects,,effects
com.zentertain.photoeditor,gp:AOqpTOGqVPgtBeoKTpFZIcITeZfGpDFi3gOTo9kTY8OM3Wp-WZCSgh0C8YA35ZbZkhi1qbo8ZZWqtnIVu72HCxs,1,A powerful photo editor with many wonderfull effects,photo editor;effects,,,photo editor;effects
com.zentertain.photoeditor,gp:AOqpTOH5wdUg-8X14UBC7tHelkoQi9QlhYv5rI3wW-LAtP7u7BPUyW0psyR0QjAnbMCrZ1tOhhWclZ1l4hcFFT4,1,"Horrible editor, worst app in this entire store.",,,editor,editor
com.zentertain.photoeditor,gp:AOqpTOH5wdUg-8X14UBC7tHelkoQi9QlhYv5rI3wW-LAtP7u7BPUyW0psyR0QjAnbMCrZ1tOhhWclZ1l4hcFFT4,2,"I give it half of no stars, stupid as a pair of inbred babies",,,,
com.zentertain.photoeditor,gp:AOqpTOHL_xuUnpjpn6Ocx8mlGZwIstN0UQ0DOVjMm7W6M5EVq11JKuodUG8dphAKtELgGApA2YubdXPztMrT-OU,1,Great Photo Editing App for editing Photo's,Photo Editing;editing Photo's,,,Photo Editing;editing Photo's
com.zentertain.photoeditor,gp:AOqpTOFE_axBIVtREvnUfeik8n0N_jKbI2F_M8gCcWd8ksw1W65g0ky8UD6Ab11coH0l6Xl9fCDnyAUTLnI3l8A,1,verry nice app and i am happy this apps,,,,
com.zentertain.photoeditor,gp:AOqpTOGbqqwtnGCqwZ8HRdhqNygO_gsZV59ss4PXKjvztfakXGmbKeZlbcnlhv-GTOCZAGJo6pCePaHpssn1I2o,1,its a great app to edit pics,edit pics,,,edit pics
com.zentertain.photoeditor,gp:AOqpTOGzQW9qtu7Eds4yVA2iyUmsjkYVB7aWrPhzzPQN0ydhjbhBpwWL6hOd355KKioO35Ab2eEfy7584Mlytv0,1,Very satisfied with the results I get by using this software :),the results I get,,,the results I get
com.zentertain.photoeditor,gp:AOqpTOHhju3o1_zmFGM-lOhpQi4WcBLHKZU5VFmOMKT_UJ3e_GJTi0Vqdzwne8lO1kkuff9rGkETQB0RHGD-YQw,1,Helped me make AMAZING photos,make AMAZING photos,,,make AMAZING photos
com.zentertain.photoeditor,gp:AOqpTOGUaCDAeLvv2szqso74s_SWY7Ydy0_rOq3eLeNFQ-xu79WgmOnhwnTmSFIbP0M4jXKT7anSoySZ4aikEoE,1,The best that one can get,,,,
com.zentertain.photoeditor,gp:AOqpTOH-Gr2g6VvYSvQvDsErqcKdYgl2XJ5KCtokPo8sINfqTvuDtVaIf1G5lA6OzTW9SBD2bDK1tVAubFGtydg,1,"I gave this app a 5 stars 'cause 'rate me pls' always pops out and it's annoying, good app though.",,,rate me pls' always pops out,rate me pls' always pops out
com.zentertain.photoeditor,gp:AOqpTOE-Lp0SWXlfC4CseTVIruEGc24MlKpdExBIZqkAudjINhrIHfA10frlPrM5jMasKUMCvjYm2cTBXAJuGg0,1,Loved using it.,,,,
com.zentertain.photoeditor,gp:AOqpTOE-Lp0SWXlfC4CseTVIruEGc24MlKpdExBIZqkAudjINhrIHfA10frlPrM5jMasKUMCvjYm2cTBXAJuGg0,2,Cant use d way i use CS6 in my lappy.,,,,
com.zentertain.photoeditor,gp:AOqpTOE-Lp0SWXlfC4CseTVIruEGc24MlKpdExBIZqkAudjINhrIHfA10frlPrM5jMasKUMCvjYm2cTBXAJuGg0,3,But its far bettrr than any other apps i tried on my phone...,,,,
com.zentertain.photoeditor,gp:AOqpTOEdp3ttrD_OgVbrA-5tQTg6urpuZBDMRFAi7u1PtL_8_cb2jPGSWpIw881APV974YZWGw59FPywBp3rB0k,1,Needs an airbrush feature,,airbrush feature,,airbrush feature
com.zentertain.photoeditor,gp:AOqpTOFNcfo25gSpgwHUMzmoOit_arqO0owBO2UuSCIb9TIoBCSfP6fHFZpPUkYsg6T0P8ZY5OrKL3OkkaMZ3lY,1,It helps me create amazing fotos.,create amazing fotos,,,create amazing fotos
com.zentertain.photoeditor,gp:AOqpTOFkBjr5GKmQ-AeiA2OazActZUp4K7rDm-12XYF74pNTGIBn3gAZ5FR8SgUJ6FouIGnsNA0BZX0vtChwLZM,1,They really need to think outside the box and get more creative .,,,,
com.zentertain.photoeditor,gp:AOqpTOFkBjr5GKmQ-AeiA2OazActZUp4K7rDm-12XYF74pNTGIBn3gAZ5FR8SgUJ6FouIGnsNA0BZX0vtChwLZM,2,think about what makes this app better than any other app and why we should get it .,,,,
com.zentertain.photoeditor,gp:AOqpTOFkBjr5GKmQ-AeiA2OazActZUp4K7rDm-12XYF74pNTGIBn3gAZ5FR8SgUJ6FouIGnsNA0BZX0vtChwLZM,3,that's some advice from a 12 year old .,,,,
com.zentertain.photoeditor,gp:AOqpTOFkBjr5GKmQ-AeiA2OazActZUp4K7rDm-12XYF74pNTGIBn3gAZ5FR8SgUJ6FouIGnsNA0BZX0vtChwLZM,4,take it or leave it,,,,
com.zentertain.photoeditor,gp:AOqpTOFbDzRjWzvfLz4nR_VhKgRq3Um4nUCIE8kEMo4o_Az36uDQDF8iAUupXCxyVBt5_4EsXshiP4cUHRXYINw,1,"I would give it 5 stars, but there are a few bugs that could be fixed",,,,
com.zentertain.photoeditor,gp:AOqpTOGVZ6GjFKqj6zV_Nr1IMs5PgkFfL0BnBFXOOlRDP5uLIXFv1NeGDa1Lggj6cMWLSaeEj3RI2qF_ObREoOU,1,The app has more options than I'll ever use.,,,,
com.zentertain.photoeditor,gp:AOqpTOGVZ6GjFKqj6zV_Nr1IMs5PgkFfL0BnBFXOOlRDP5uLIXFv1NeGDa1Lggj6cMWLSaeEj3RI2qF_ObREoOU,2,It doesn't provide for a way to delete previously 'edited' needless photos that are starting to accumulate in the gallery.,,delete previously 'edited' needless photos;gallery,,delete previously 'edited' needless photos;gallery
com.zentertain.photoeditor,gp:AOqpTOGVZ6GjFKqj6zV_Nr1IMs5PgkFfL0BnBFXOOlRDP5uLIXFv1NeGDa1Lggj6cMWLSaeEj3RI2qF_ObREoOU,3,Can't obtain any help on how to delete 'just those photos' while maintaining the original photo.,,delete 'just those photos';maintaining the original photo,,delete 'just those photos';maintaining the original photo
com.zentertain.photoeditor,gp:AOqpTOF-EujhNsqANqQ9BD7vosOt2yqD2hqNW73-8GivagHPLiKpUoIsC9IeUzbeQO7M22SONvks2PpEz78rPrI,1,Ilike it but the other app are busy.,,,,
com.zentertain.photoeditor,gp:AOqpTOF-EujhNsqANqQ9BD7vosOt2yqD2hqNW73-8GivagHPLiKpUoIsC9IeUzbeQO7M22SONvks2PpEz78rPrI,2,But i got the frames.,,frames,,frames
com.zentertain.photoeditor,gp:AOqpTOE84x32CBPlxfiU47PJ9NlrQN8BvdIX_2ccVeTAB0FmyqOD68V5DFE3bLcBf5QNRSAdo6uWwusmUyOySYs,1,The best one I found so far,,,,
com.zentertain.photoeditor,gp:AOqpTOEFpz80r-8byWlIxPxFgIWm864oG24EP36RxQl8fRD2PkmJsHyuw-OQACGqkNqDhWRfdFLrj2DzuBET7N8,1,"Love it... Love the enhanced picture qualities, the frames etc....",enhanced picture qualities;frames,,,enhanced picture qualities;frames
com.zentertain.photoeditor,gp:AOqpTOEZlRU1SUoAE8BQc_U4lhx7VcMg3VI3gn6PnYFvg2aLFAvwPWjdzKwtkqDkAUibrHUXs_gobP5TYvJSdMo,1,Easy very nice detail options and doesnt crash!,detail options,,,detail options
com.zentertain.photoeditor,gp:AOqpTOEZlRU1SUoAE8BQc_U4lhx7VcMg3VI3gn6PnYFvg2aLFAvwPWjdzKwtkqDkAUibrHUXs_gobP5TYvJSdMo,2,Would be better if there were more frame options tho,,frame options,,frame options
com.zentertain.photoeditor,gp:AOqpTOGc06XpKZz5fSCiTairjmvGdG-Ebcj2qfY47rav3eT54-Im5GioPoObEAbhD92qG_TXJZMwJhGOcH6yd5U,1,Have to download everything and adverts are annoying!,,,adverts,adverts
com.zentertain.photoeditor,gp:AOqpTOEEEEn6rHuk9ooxN-wu8MkGaLfgy29iHl2hhmXL6h8fadrY69Q7TUu-Xr6KHWuRUNH43R7KVk0XIaGEWJU,1,It's best,,,,
com.zentertain.photoeditor,gp:AOqpTOExbQNdxdhhdKBZ0LKd2AUulKJRhwG20ZXYltcbdZxRXvDIFN3HYuZ9yVQzv3BeHVIYp0DnvU4pHiNUbl0,1,Best photo editor i have seen,photo editor,,,photo editor
com.zentertain.photoeditor,gp:AOqpTOGLs4x_9u2Q_TNf1jx2xNNXmUrqR9rRgRf3-xQjnfebI7JpTz7xOvnCH0P4nOSFyh1O1ZKrZqf7gwDPTfw,1,Without Aviary this app cannot working,,,,
com.zentertain.photoeditor,gp:AOqpTOF4Hugy4Objc1uzeoo7bHX0-21vSZQDncVudCLawt77yCQ1A7D9chXm4vBKb-PDLACoKHd1e9jXSt-y-Y0,1,Great app.....easy to use.,,,,
com.zentertain.photoeditor,gp:AOqpTOF4Hugy4Objc1uzeoo7bHX0-21vSZQDncVudCLawt77yCQ1A7D9chXm4vBKb-PDLACoKHd1e9jXSt-y-Y0,2,But has alot of popups.,,popups,,popups
com.zentertain.photoeditor,gp:AOqpTOEpjUnDhR0pgn-F90owWDDX38Y4v1wSu9QphPZNqLYsMvfXEyYc9eN7WJZxqR5JElP25-r_qWMApBJUmoA,1,Sud have an option to un blur the blur photos,,option to un blur the blur photos,,option to un blur the blur photos
com.zentertain.photoeditor,gp:AOqpTOFSvh50Yg7iNXMXwcBWxp2VUgGZg5aTwy-RLSVxBY4_EOPelyDDdD5Gd0LhaDC7bwPmA6pSoranYaZ9TFI,1,it's a cooooool app ever.,,,,
com.zentertain.photoeditor,gp:AOqpTOFSvh50Yg7iNXMXwcBWxp2VUgGZg5aTwy-RLSVxBY4_EOPelyDDdD5Gd0LhaDC7bwPmA6pSoranYaZ9TFI,2,i like it...!!!!,,,,
com.zentertain.photoeditor,gp:AOqpTOHF9v6-Fd7qZ6C1LJsK-D-SMCsQXOFUU8wBXJqsB_XUQvVgso33f8GFjHQzd_kFqo_VchfJOeiNP33y2Ig,1,Whenever I went to choose a photo then go back to it a blank black screen came up for a few seconds.,,choose a photo;black screen came up,,choose a photo;black screen came up
com.zentertain.photoeditor,gp:AOqpTOHF9v6-Fd7qZ6C1LJsK-D-SMCsQXOFUU8wBXJqsB_XUQvVgso33f8GFjHQzd_kFqo_VchfJOeiNP33y2Ig,2,Also it seemed to only let me have one photo I couldn't see how to add in another photo.,,photo;add in another photo,,photo;add in another photo
com.zentertain.photoeditor,gp:AOqpTOG6AtHeqchVGy0JtZ08I9EMZrSoce3wL_zsJ1lsgAJCLzNSeTKIwL7SGbX8tHpQL9CUCq68d2CgMIXXLQ4,1,The app is gud but reqire sum features more,,,,
com.zentertain.photoeditor,gp:AOqpTOEwKYvVG4lkc5RCqAHLcUA7Cpa3RaUKGqeZazGAugAQZDZlFFdwT0Mi6UNfJoVkXZY4AJ7rf1u-Iu1cS_A,1,This will be very helpfull to me.,,,,
com.zentertain.photoeditor,gp:AOqpTOGUjYWxPxJuAcYM554QVhFVVqO9dNh5m_HTFoFGGhPg5jd4xis2S9OrxENAAW8WsUXEtMxiPu4O1xNvniA,1,I love being able to have fun  with my photo.??,photo,,,photo
com.zentertain.photoeditor,gp:AOqpTOHW6zhoLy_IObpSJ9XOGrtYLuUMfCVjTKuoAGvlxF1YuzZMozU2T4jJKkiT-z-vSCnjLBBrjlG1iDVgRsc,1,I can edit in many ways... It looks always perfect... so yea 3 thumbs up to this app,,edit,,edit
com.zentertain.photoeditor,gp:AOqpTOHGzb6vdrIRRgKOSSWnDfXb6YzdInXx4GnKRQaG-_uQaxjA0ds9uwDtifFSLpDEaxJPfgJLvXXeh9Ajz6Y,1,It perfects flaws and inperfections !!,,perfects flaws;perfects inperfections,,perfects flaws;perfects inperfections
com.zentertain.photoeditor,gp:AOqpTOHGzb6vdrIRRgKOSSWnDfXb6YzdInXx4GnKRQaG-_uQaxjA0ds9uwDtifFSLpDEaxJPfgJLvXXeh9Ajz6Y,2,Lol and its fun to use too!!??,,,,
com.zentertain.photoeditor,gp:AOqpTOGJ2YavdX9CyJa7VgKjwFpe9XHD9JOOKH5m3L-jiiTPQPirBB6qH3mZ4A4HV7l0fxcCxenO2SZBKVGRAyI,1,App is Brilliant...but only the thing due to which I gave 4 star not 5 is FONT.....We cant change the FONT Text.....,,FONT;change the FONT Text,,FONT;change the FONT Text
com.zentertain.photoeditor,gp:AOqpTOElZJEaN9GPnXT0r7cnEhOOSM_oyDYxF2UIt7T9AUiBdc8Mqi6Lc5TG8GfQljYVDG7J0xUTtsk-DVKTTBo,1,Love the affects when done,affects,,,affects
com.zentertain.photoeditor,gp:AOqpTOEC7UzqjwvS3SubrwUoyTc72fxXqGTl2tRLu_8R_ca9e8WH8-cUE090gidp9ApsjQKQzIFgERzfmB7Q_Lc,1,This aap is excellent ... Love it .,,,,
com.zentertain.photoeditor,gp:AOqpTOEC7UzqjwvS3SubrwUoyTc72fxXqGTl2tRLu_8R_ca9e8WH8-cUE090gidp9ApsjQKQzIFgERzfmB7Q_Lc,2,( It works in my phone),,,,
com.zentertain.photoeditor,gp:AOqpTOHIySnkzM5fA_hqRpML7PIUzrlrYVh6JYWGu0XNMjMG0CJBhxXXEhh0FAjlxefOUsn239FSrbTb2Swr7w8,1,Doesn't even start .,,,,
com.zentertain.photoeditor,gp:AOqpTOHIySnkzM5fA_hqRpML7PIUzrlrYVh6JYWGu0XNMjMG0CJBhxXXEhh0FAjlxefOUsn239FSrbTb2Swr7w8,2,Waste of time ....,,,,
com.zentertain.photoeditor,gp:AOqpTOHCJjdAf9Gi20JasS6TM6YzfbrcmQ9vKS_-8OQBQ0N7zwIwq2hpqQewqyw6ANcWHUeDB1Gnoaux81lCqwg,1,This works realy well the only thing I don't like about it is that u had to download the stickers,,,download the stickers,download the stickers
